ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7902441,3.59E-34,7.87E-37,-18.3336296,73.3017636,-1.75,ST6GALNAC5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8057797,3.77E-34,8.46E-37,-18.3188817,73.2302061,-2.08,SDPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7914592,3.77E-34,8.60E-37,18.3156383,73.2144651,7.59E-01,TMEM54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8175393,3.77E-34,8.62E-37,-18.3150535,73.2116269,-1.39,ARHGEF6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8127502,3.90E-34,9.02E-37,-18.3056953,73.1662013,-2.38,LINC00472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7945132,4.06E-34,9.52E-37,-18.2947437,73.1130267,-1.37,FLI1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8007701,4.07E-34,9.68E-37,-18.2914212,73.0968915,-1.97,HIGD1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8019250,4.44E-34,1.07E-36,18.2714053,72.9996575,6.62E-01,P4HB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7933672,5.36E-34,1.31E-36,-18.230251,72.7995745,-1.95,PCDH15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8133876,5.90E-34,1.45E-36,-18.208268,72.6926086,-2.72,CD36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8154692,8.33E-34,2.08E-36,-18.1355398,72.3382809,-2.82,TEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8054254,8.57E-34,2.17E-36,-18.1269726,72.2964967,-1.93,AFF3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
